,State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Literate_Education,Illiterate_Education,Total_Power_Parity,sex_ratio,literacy_rate
0,Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,1323667,84661,2399901,275970,15422,1377,25510,322,566108,5512,45202,232470,344167,281752,225957,143143,100226,1346992,1030640,4181,100.0,54.0
1,Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,2036166,105343,3599372,443456,20463,932,341,309,897970,8606,48299,462273,720357,582075,331793,162175,144915,2426929,1369069,5799,98.0,57.0
2,Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,1933357,57269,3737588,397870,24129,867,253,358,944555,13763,67087,522961,770836,673197,548336,265199,246409,3062955,1170993,5926,100.0,64.0
3,Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,2093681,57853,4983330,77777,77825,738,413,403,1297273,22411,93784,669420,947606,797497,521562,271809,263023,3518619,1524603,7211,101.0,64.0
4,Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,2381624,47436,4217597,559770,89763,764,323,332,1186028,19383,80434,736270,845810,674957,453446,246580,221924,3209266,1474349,6981,100.0,61.0
5,Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,1413297,46157,2046051,1713405,87522,11446,1268,1929,869721,149034,274653,230962,596591,685215,811501,517425,558090,3445721,556902,11071,95.0,73.0
6,Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,1876768,168340,3491139,244723,24979,2086,332,115,926768,8831,46584,340372,453505,482842,463403,293493,256633,2325560,1280393,5251,101.0,58.0
7,Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,1410062,19799,2595321,158887,33463,655,217,539,668519,8628,42171,295639,346118,329630,238811,154774,160804,1551232,875272,3836,101.0,58.0
8,Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,2048880,48444,4023678,307043,145598,1393,863,906,1163932,30438,101450,618101,692968,630603,531821,312753,328454,3169428,1352499,6983,99.0,67.0
9,Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,2029425,60791,3328380,670737,33165,737,255,434,816721,10081,56478,521327,672951,466940,271828,152453,115504,2220285,1517933,5301,99.0,52.0
